radius,rho,theta,phi,x,y,z,id
211.1640975848972,847.1172411385303,1.4524003068511497,0.3741037017779389,36.566186113925795,307.4019659896703,788.5268325002785,1
211.1640975848972,847.1172411385303,2.4378510015645602,0.6177976477285503,-374.1114247740815,317.51016121435,690.5328084988425,2
144.95448620125885,913.3268525221687,1.4524003068511497,0.774580242467802,75.45427837902494,634.3235645024156,652.7681111461418,3
141.1261790248254,723.2542285724578,1.0709600638196133,0.7526806342425857,236.96409533208086,433.92872330475086,527.8736210140629,4
163.965860204575,633.4986633416909,1.6622039051095585,0.8549637397084318,-43.6324222883656,476.00903587304157,415.7308816388026,5
341.55703992228,391.4407713522921,-0.06613242369561624,0.4343331658793345,164.36038819665518,-10.885424585436397,355.09582903818654,6
211.21614304353122,758.7357606497806,1.2250794824579434,1.213645017985488,240.88893152492307,668.7974831525225,265.25912554789386,7
248.36733937365375,809.9139993497738,-3.020113932763055,0.8085723359108475,-581.4953400577335,-70.98885013910558,559.2713464766579,8
371.81513925600706,686.4661994674204,-3.020113932763055,1.6481131321551703,-679.3716330619455,-82.93757099309789,-53.02250955730289,9
236.51947730431235,737.8566195037736,1.8206803520642718,1.4108742306421478,-180.1374163220538,705.8167605872568,117.49724533138001,10
137.76231832429005,920.5190203991375,2.6842942726886463,1.635559299128904,-824.2029273578787,405.5807612870119,-59.57388291138062,11
113.55780633712435,550.8313100204117,2.7782563309907116,0.5807019215478323,-282.4638668636345,107.39746943884299,460.5378155736819,12
109.11157501446101,804.0593360598938,2.7119879757039764,0.9548985280069174,-596.6782908314672,273.3637666145572,464.4983145909339,13
156.1952782086814,589.7592374821762,2.4352321234068555,0.9908308257568055,-375.28499043765976,320.2006970690061,323.1851601548037,14
237.01716932810626,418.17043221148174,1.2668614535845142,1.7353539112110452,123.4581635298846,393.61394215711147,-68.5029690838569,15
