x,y,z,radius
22.6532504206374,339.77060326067635,748.1084543402651,211.1640975848972
-369.53809047988756,294.1095538611792,620.3100450123812,211.1640975848972
76.09071387579857,540.3953329354187,578.0651650530051,144.95448620125885
139.30079794179989,482.45470769381313,477.35565877905856,141.1261790248254
5.928291955950193,454.76701298816295,482.61262185834266,163.965860204575
148.0722075424446,18.489028164895323,356.19358352669406,341.55703992227996
208.8482358671823,616.342938326966,295.6400025246795,211.2161430435312
-556.1006852607985,-37.73723619814365,527.7657728535178,248.36733937365372
-672.2149937854575,-89.89629694869922,-46.71420258524283,371.81513925600717
-163.3920026076733,673.5870634413138,141.28779992472977,236.51947730431237
-804.5194156345348,361.39917595778894,-61.58456073695899,137.76231832429005
-290.7105236095667,162.11508068133057,450.4133880314654,113.55780633712436
-532.9208312489839,247.66925476694786,451.38139919988356,109.111575014461
-355.2005428558879,266.3922789092894,391.25080459534524,156.1952782086814
117.12958705494732,395.9562185972453,-37.8713715784411,237.01716932810623
