x,y,z,radius
25.87580379040574,337.7600097419233,745.8371012036209,211.1640975848972
-354.77250255911025,276.28476607032917,609.9501207659459,211.1640975848972
67.34424473127523,557.8773345119617,580.6550276878236,144.95448620125885
180.9164083300556,441.9687264001094,509.53863229018896,141.1261790248254
-20.952689008905406,447.6705837949347,463.58895482175643,163.965860204575
144.6541515857478,6.213433999093269,353.91989281319275,341.55703992227996
202.43574845883785,616.5462052909281,288.9914192631425,211.2161430435312
-557.4062755067333,-32.65268367524696,523.5261857123579,248.36733937365372
-664.85122256319,-73.30733470307143,-48.97321414830534,371.81513925600717
-166.82563564797834,660.3757505533514,164.74233511225708,236.51947730431237
-805.3963860136714,361.2886721558539,-48.01362966842174,137.76231832429005
-298.91567142563423,140.07107115437893,456.67767479929927,113.55780633712436
-552.335304983136,245.84338317669713,441.31939978758277,109.111575014461
-378.2008882823726,266.6690926590376,370.704540671196,156.1952782086814
107.32914022864215,399.2535782579782,-24.717299643697487,237.01716932810623
